"Type";"Name";"Description";"Preparation";"Calories";"Fat";"Carbs";"Protein";"Ingredient1";"Ingredient2";"Ingredient3";"Ingredient4";"Ingredient5";"Ingredient6";"Ingredient7";"Ingredient8";"Ingredient9";"Ingredient10";"Ingredient11";"Image"
"Cookies";"First-Place Coconut Macaroons";"These coconut macaroon cookies earned me a first-place ribbon at the county fair.";;"54";"2";"8";"1";"1-1/3 cups sweetened shredded coconut";"1/3 cup sugar";"2 tablespoons all-purpose flour";"1/8 teaspoon salt";"2 large egg whites, room temperature";"1/2 teaspoon vanilla extract";;;;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/First-Place-Coconut-Macaroons.jpg?raw=true"
"Cookies";"Cranberry Biscotti";"This cranberry biscotti is the perfect hostess gift for the holidays.";"Beat eggs, sugar and vanilla. add flour, baking soda, baking powder and salt;  Stir in ground almonds and cranberries. Shape and Bake until lightly browned, about 25 minutes. Cut diagonally into 1/2-in. slices. Bake until lightly browned, 8-10 minutes per side";"89";"2";"17";"2";"3 large eggs, room temperature";"1 cup sugar";"1 teaspoon vanilla extract";"2-1/2 cups all-purpose flour";"1/2 teaspoon baking soda";"1/2 teaspoon baking powder";"1/2 teaspoon salt";"1 cup ground almonds";"1 cup dried cranberries, chopped";;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/Very-Merry-Cranberry-Biscotti.jpg?raw=true"
"Cookies";"Lemon Crisp Cookies";"They take only 10 minutes to whip up! The sunny yellow color, big lemon flavor and delightful crunch";"Preheat oven to 350. In a large bowl, combine all the ingredients (dough will be crumbly). Shape into 1-in. balls. Place 2 in. apart on ungreased baking sheets.Bake 10-12 minutes or until set. Cool 1 minute; remove from pan to a wire rack to cool completely.";"61";"2";"10";"0";"1 package lemon cake mix (regular size)";"1 cup crisp rice cereal";"1/2 cup butter, melted";"1 large egg, room temperature, lightly beaten";"1 teaspoon grated lemon zest";;;;;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/Lemon-Crisp-Cookies.jpg?raw=true"
"Drinks";"Fantastic Fruit Smoothie";"For a thick smoothie, use frozen fruit.";"Combine all ingredients in blender and process until very smooth and creamy. Serve immediately.";"160";"0.5";"37";"1";"1 frozen or fresh banana, broken into chunks";"1 1/2 cups  unsweetened fruit juice, any kind";"1/2 cups liced fresh or frozen unsweetened fruit or berries";"1/2 cups plain, vanilla, or fruit-flavored soy yogurt";;;;;;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/Fantastic-Fruit-Smoothie.jpeg?raw=true"
"Drinks";"Pineapple-Citrus Green Smoothie";"Start your day off strong with a green smoothie!";"Combine the spinach, pineapple, cucumber, lemon, banana, and water in a blender, along with any optional add-ins. Puree until very smooth, adding more water as needed to puree. Taste, and if you’d like it sweeter, add sweetener of choice. Reserve extra ingredients for future use.";"152";"1";"39";"3";"2 cups baby spinach, loosely packed, see note";"1 1/2 cups frozen pineapple cubes or chunks";"1/2 cups ucumber, thickly sliced";"1 large lemon or small orange, peeled";"1 cup overripe banana, frozen or fresh, sliced";"1 1/4 cups  or more to thin as desired water";"2 tbsp (30 mL) vanilla plant-based protein powder";"2 tbsp (30 mL) vanilla plant-based protein powder";"2 tsp (10 mL) pure maple syrup or a pinch of stevia, to sweeten, if desired, see banana note";"1 tbsp (15 mL) hemp seeds, optional";;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/batido-verde.jpg?raw=true"
"Drinks";"Pumpkin Smoothie";;"Combine all ingredients in blender. Blend for 1 to 2 minutes until everything is incorporated. Adjust amounts as needed.";"95";"1.7";"16.8";"3.7";"1 15-oz (425-g) can or 2 cups  pumpkin puree";"2 cups  low-fat nondairy milk";"2 cups  ice";"2 tbsp (30 mL) maple syrup, or to taste";"3 tsp (15 mL) vanilla extract, or to taste";"3 tsp (15 mL) pumpkin pie spice, or use a combination of cinnamon, nutmeg, and allspice";"or use a combination of cinnamon, nutmeg, and allspice";;;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/pumpkin-smoothie.jpg?raw=true"
"Drinks";"Ginger shots";;"Chop the ginger into small chunks. Tip into a blender with the apple and lemon juice and blitz for a few minutes until very smooth.";"30";"0.1";"7";"0.3";"60g ginger, skin left on";"400ml fresh apple juice";"½ lemon, juiced";"Water if needed.";;;;;;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/Ginger-shots.jpg?raw=true"
"Salads";"Chicken satay salad";;"Curry powder, cumin, garlic and honey Mix with Slice the chicken breasts in half add to the marinade and mix well to coat. Set aside 1 hr. Mix the peanut butter with the chilli sauce, lime juice, and 1 tbsp . Cook for 5-6 mins. Slice the chicken, pile on top and sauce.";"353";"10";"24";"38";"1 tbsp tamari";"1 tsp medium curry powder, ¼ tsp ground cumin,";"1 garlic clove, finely grated";"1 tsp clear honey";"2 skinless chicken breast fillets (or use turkey breast)";"1 tbsp crunchy peanut butter";"1 tbsp sweet chilli sauce, 1 tbsp lime juice";"sunflower oil, for wiping the pan";"2 Little Gem lettuce hearts, cut into wedges";"coriander, chopped";;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/chicken-satay-salad.jpg?raw=true"
"Salads";"10-minute couscous salad";;"Couscous into a large bowl add hot water, cover, then leave for 10 mins. Slice the onions and pepper, and dice the cucumber. Add these to the couscous, crumble in the feta, then sprinkle over pine nuts to serve.";"327";"17";"33";"13";"100g couscous";"200ml hot low salt vegetable stock (from a cube is fine)";"2 spring onions";"1 red pepper";"½ cucumber";"50g feta cheese, cubed";"2tbsp pesto";"2tbsp pine nuts";;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/couscous.jpg?raw=true"
"Salads";"Greek salad";;"Place 4 large vine tomatoes, cut into wedges, 1 peeled, deseeded and chopped cucumber, ½ a thinly sliced red onion, 16 Kalamata olives, 1 tsp dried oregano, 85g feta cheese chunks and 4 tbsp Greek extra virgin olive oil in a large bowl.";"270";"24";"8";"9";"4 large vine tomatoes, cut into irregular wedges";"1 cucumber, peeled, deseeded, then roughly chopped";"½ a red onion thinly sliced";"16 Kalamata olives";"1 tsp dried oregano";"85g feta cheese, cut into chunks (barrel matured feta is the best)";"4 tbsp Greek extra virgin olive oil";;;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/Greek-Salad.jpg?raw=true"
"Salads";"Tuna, asparagus salad";;"Cook the asparagus, drain, cool, cut into finger-length pieces. Toss together the tuna, beans, onion, capers and asparagus  add cutted the potatoes, shallots, capers and cornichons, if using. Add mayonnaise mix .";"245";"5";"23";"24";"1 large bunch asparagus";"2 x cans tuna steaks in water, drained";"2 x cans cannellini beans in water, drained";"1 red onion, very finely chopped";"2 tbsp capers";"1 tbsp olive oil";"1 tbsp red wine vinegar";"2 tbsp tarragon, finely chopped";;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/tuna-sparagus-salad.jpg?raw=true"
"Salads";"Classic potato salad";;"Boil the potatoes in salted water for 20 mins until just cooked, drain, then cool, potatoes, shallots, capers and cornichons. Add  mayonnaise and Mix all ingredients.";"144";"6";"22";"2";"800g small new potato";"3 shallots, finely chopped";"1 tbsp small capers (optional)";"2 tbsp cornichons, finely chopped (optional)";"3 tbsp mayonnaise, or to taste";"3 tbsp extra-virgin olive oil";"1 tbsp white wine vinegar";"small handful parsley leaves, roughly chopped";;;;"https://github.com/jeancarlosg93/listboxtest/blob/Test/Images/Clasic-potato-salad.jpg?raw=true"
